Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
signia,tusculum,0.9489134550094604,0.8546742975711823,0.8669467568397522
tusculum,signia,0.9489134550094604,0.8669467568397522,0.8546742975711823
luna,Varia,0.9364234805107117,0.9063373506069183,0.8673917710781097
Varia,luna,0.9364234805107117,0.8673917710781097,0.9063373506069183
cora,luna,0.93507981300354,0.8820044457912445,0.9063373506069183
aquilonia,luna,0.8965561389923096,0.843341737985611,0.9063373506069183
firmum,cora,0.8886979222297668,0.8513271093368531,0.8820044457912445
pompeii,luna,0.8600891828536987,0.8208434760570527,0.9063373506069183
