Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
neapolis,capua,0.9755157232284546,0.9091009265039025,0.9271531948229161
Laterium,cures,0.9248802065849304,0.869213176936638,0.9265793256643342
velia,lanuvium,0.9246026277542114,0.8732583784475559,0.9280605999434867
Arcanum,cora,0.92318195104599,0.8651538098730692,0.9276460118410064
Lavernium,capua,0.9210402369499207,0.8595668789817066,0.9271531948229161
Solonium,signia,0.8917496800422668,0.8314315284170756,0.9234412021753264
Senum,formiae,0.855069100856781,0.7826867801387135,0.925251931678958
