Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Παλάτιον,Κύμη,0.9908005595207214,0.9206663127298709,0.923278099960751
Οὐέλια,Κύμη,0.988322377204895,0.9198063943121169,0.923278099960751
Λάρισα,Κύρις,0.9767944812774658,0.9233245143183956,0.947682347562578
Κολλατία,Ἄλβα Φουκινίς,0.9641891121864319,0.9213749236530728,0.946537768399274
Συεσβόλα,Βατία,0.9525810480117798,0.8826745262852421,0.8828427659140693
Σούνα,Βατία,0.9379419088363647,0.866866045527988,0.8828427659140693
Μαρούιον,Ἄντιον,0.9265576601028442,0.8630642537717466,0.8953172100914849
