Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἡράκλεια,Ἡράκλειον,1.0,0.9387547075748444,0.9387547135353088
Ἡράκλειον,Ἡράκλεια,1.0,0.9387547135353088,0.9387547075748444
Κρότων,Κύμη,0.9928287267684937,0.9627538859844208,0.9616441428661346
Κύμη,Κρότων,0.9928287267684937,0.9616441428661346,0.9627538859844208
Κόρα,Κρότων,0.9821470379829407,0.9537415921688079,0.9627538859844208
Ῥήγιον,Ἡράκλεια,0.9729719161987305,0.933485597372055,0.9387547075748444
Ὑρίη,Κύμη,0.9705130457878113,0.9437510430812835,0.9616441428661346
Σκίδρος,Κύμη,0.9458223581314087,0.923983883857727,0.9616441428661346
Πύργοι,Ὑρίη,0.9248360395431519,0.8677298486232757,0.9437510430812835
