Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Παλάτιον,Κόρα,0.9920709133148193,0.9644422011990701,0.9636937764383131
Πειραιεύς,Κύρις,0.9907540678977966,0.9616088809505585,0.962955161448448
Λάρισσα,Βρεντέσιον,0.9878783226013184,0.9501101278489635,0.9482989714991662
Μιντούρνας,Κανύσιον,0.9826010465621948,0.9386556552302453,0.9475630848638473
Λοῦκα,Βρεντέσιον,0.9498680830001831,0.8779957198327587,0.9482989714991662
