Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Λάρισα,Κύμη,0.9905362129211426,0.9552120199570289,0.9417303342085618
Πειραιεύς,Κόρα,0.9844645857810974,0.9601853306476886,0.9707455451671894
