Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
velia,cora,0.9167563915252686,0.8513069117770475,0.8859887158169466
neapolis,signia,0.8618720173835754,0.807180197799907,0.869906814659343
ulubrae,firmum,0.6908162832260132,0.6403874018613029,0.8762721734888413
