Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἡράκλεια,Ἡράκλειον,0.9999999403953552,0.8892103970050812,0.8892104506492615
Ἡράκλειον,Ἡράκλεια,0.9999999403953552,0.8892104506492615,0.8892103970050812
Κρότων,Ῥήγιον,0.9701840877532959,0.9351987361907959,0.9223999679088593
Ῥήγιον,Κρότων,0.9701840877532959,0.9223999679088593,0.9351987361907959
Κύμη,Κρότων,0.9641504883766174,0.9211301505565643,0.9351987361907959
Σκίδρος,Κύμη,0.9483403563499451,0.9024544358253479,0.9211301505565643
Ὑρίη,Κρότων,0.9480907320976257,0.9171023845672608,0.9351987361907959
Πύργοι,Κύμη,0.9297329783439636,0.9050962328910828,0.9211301505565643
Κόρα,Ῥήγιον,0.9250620603561401,0.825908076763153,0.9223999679088593
