Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Ἡράκλεια,Ἡράκλειον,0.9831593632698059,0.9295470654964447,0.931614625453949
Ἡράκλειον,Ἡράκλεια,0.9831593632698059,0.931614625453949,0.9295470654964447
Ῥήγιον,Ἡράκλεια,0.9814348220825195,0.944799292087555,0.9295470654964447
Κύμη,Ῥήγιον,0.9730794429779053,0.9399027287960052,0.944799292087555
Κύρις,Ἡράκλειον,0.9708686470985413,0.9275375068187713,0.931614625453949
Μεταπόντιον,Ῥήγιον,0.9643557071685791,0.9245576858520508,0.944799292087555
Πύργοι,Ἡράκλεια,0.925299882888794,0.8857183337211609,0.9295470654964447
Σκύλλαιον,Κύμη,0.8602139353752136,0.8476646184921265,0.9399027287960052
