Romurbital Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
fundi,signia,0.9172292947769165,0.8433399572968483,0.8473282158374786
signia,fundi,0.9172292947769165,0.8473282158374786,0.8433399572968483
misenum,fundi,0.883052408695221,0.8570157513022423,0.8433399572968483
luna,tusculum,0.8708481788635254,0.8504718616604805,0.853200152516365
tusculum,luna,0.8708481788635254,0.853200152516365,0.8504718616604805
Caieta,luna,0.8360061049461365,0.8626202717423439,0.8504718616604805
sora,Caieta,0.8237737417221069,0.7981657162308693,0.8626202717423439
