Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
neapolis,capua,0.9585839509963989,0.8676481037526518,0.8922003636489043
Laterium,tusculum,0.9247685074806213,0.8546233902106414,0.891222628387245
velia,arpinum,0.887792706489563,0.8127890825271606,0.893287947049012
Arcanum,cora,0.8870671987533569,0.8034763674478274,0.862380185642758
Solonium,firmum,0.8540148735046387,0.762951905662949,0.8666094235471777
Lavernium,casilinum,0.7958507537841797,0.7116106523049844,0.8303690874898756
