Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Πειραιεύς,Κύρις,0.9893468022346497,0.9445174105705754,0.9451191348414267
Παλάτιον,Ἡράκλειον,0.9891319870948792,0.9422632359689281,0.9436421490484669
Λάρισσα,Ἡράκλειον,0.9817061424255371,0.938978333627024,0.9436421490484669
Λοῦκα,Πλακεντία,0.9726559519767761,0.8657974812292284,0.8591286155485338
Μιντούρνας,Ἄντιον,0.9253349304199219,0.859294060737856,0.8932347393804981
