Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
Συεσβόλα,Τριβόλα,0.975705087184906,0.8657775101838289,0.88577566102699
Παλάτιον,Κύμη,0.9644190073013306,0.9179918964703878,0.9227063081882618
Λάρισα,Κρότων,0.963067889213562,0.9110212193595039,0.9299154965965836
Οὐέλια,Κρότων,0.9614450335502625,0.9021672054573342,0.9299154965965836
Μαρούιον,Κρότων,0.9569553136825562,0.895621156250989,0.9299154965965836
Κολλατία,Κύμη,0.9535314440727234,0.9104391888335899,0.9227063081882618
Σούνα,Κρότων,0.9307644367218018,0.8708459867371453,0.9299154965965836
