Undiscovered Site,Most Similar To,Similarity Score,Centrality Score,Most Similar Site Centrality
nuceria,acerrae,0.9797677397727966,0.8908162856543506,0.8561877762829816
tifata,signia,0.9348592162132263,0.8673819071716733,0.9128765276184788
Arcanum,fundi,0.9288751482963562,0.8705353648574264,0.9024381858331186
romulea,capua,0.9278537034988403,0.8485525393927539,0.9139034516281552
sabata,nola,0.9203475117683411,0.8716193382386808,0.9059018934214557
laurentum,luca,0.9170671105384827,0.8579807138001477,0.9100548492537605
trica,nola,0.8984317779541016,0.8316296968195174,0.9059018934214557
marouion,luca,0.889296293258667,0.834164375508273,0.9100548492537605
